{'max_epoch': 10, 'train_batch_size': 2, 'last_iter': 0, 'finetune_lr': 5e-05, 'scratch_lr': 0.0005, 'weight_decay': 0.0005, 'momentum': 0.9, 'snapshot': '', 'scale': 416, 'multi-scale': None, 'gpu': '0,1', 'multi-GPUs': False, 'fp16': False, 'warm_up_epochs': 3, 'seed': 2020}

iter: 33, bce1: 0.7307505, bce2: 0.7165625, bce3: 0.7178415, hinge1: 1.9164435, hinge2: 1.8491895, hinge3: 2.1123035, cla: 1.9356065, lr: 0.0000008
iter: 34, bce1: 0.7303525, bce2: 0.7149205, bce3: 0.7176915, hinge1: 1.9315505, hinge2: 1.8580555, hinge3: 2.1080315, cla: 1.9545425, lr: 0.0000008
iter: 35, bce1: 0.7306555, bce2: 0.7136755, bce3: 0.7177015, hinge1: 1.9358835, hinge2: 1.8586205, hinge3: 2.1100035, cla: 1.9373485, lr: 0.0000008
iter: 36, bce1: 0.7306315, bce2: 0.7141265, bce3: 0.7175315, hinge1: 1.9311575, hinge2: 1.8643945, hinge3: 2.1141375, cla: 1.9627065, lr: 0.0000008
iter: 37, bce1: 0.7305855, bce2: 0.7149685, bce3: 0.7176355, hinge1: 1.9302085, hinge2: 1.8719275, hinge3: 2.1274265, cla: 2.0101875, lr: 0.0000008
iter: 38, bce1: 0.7296055, bce2: 0.7148865, bce3: 0.7176935, hinge1: 1.9348675, hinge2: 1.8820395, hinge3: 2.1273215, cla: 2.0437335, lr: 0.0000008
iter: 39, bce1: 0.7292515, bce2: 0.7147625, bce3: 0.7177955, hinge1: 1.9396055, hinge2: 1.8962575, hinge3: 2.1261775, cla: 2.0837645, lr: 0.0000008
iter: 40, bce1: 0.7295025, bce2: 0.7156155, bce3: 0.7174115, hinge1: 1.9326855, hinge2: 1.8926965, hinge3: 2.1293375, cla: 2.0729295, lr: 0.0000008
iter: 41, bce1: 0.7294525, bce2: 0.7146435, bce3: 0.7176435, hinge1: 1.9329835, hinge2: 1.8922505, hinge3: 2.1177905, cla: 2.0591785, lr: 0.0000008
iter: 42, bce1: 0.7291715, bce2: 0.7145525, bce3: 0.7170625, hinge1: 1.9516825, hinge2: 1.9098475, hinge3: 2.1136055, cla: 2.0854905, lr: 0.0000008
iter: 43, bce1: 0.7296275, bce2: 0.7139865, bce3: 0.7171875, hinge1: 1.9460735, hinge2: 1.9010965, hinge3: 2.1201965, cla: 2.0694395, lr: 0.0000008
iter: 44, bce1: 0.7296365, bce2: 0.7140455, bce3: 0.7166105, hinge1: 1.9553095, hinge2: 1.9116085, hinge3: 2.1028875, cla: 2.0438935, lr: 0.0000008
iter: 45, bce1: 0.7287005, bce2: 0.7133355, bce3: 0.7167935, hinge1: 1.9515135, hinge2: 1.9071015, hinge3: 2.1087905, cla: 2.0546175, lr: 0.0000008
iter: 46, bce1: 0.7281985, bce2: 0.7136975, bce3: 0.7177425, hinge1: 1.9578955, hinge2: 1.9185445, hinge3: 2.1090425, cla: 2.0324445, lr: 0.0000008
iter: 47, bce1: 0.7274285, bce2: 0.7134595, bce3: 0.7175205, hinge1: 1.9593425, hinge2: 1.9203965, hinge3: 2.0966445, cla: 2.0356765, lr: 0.0000008
