{'max_epoch': 12, 'train_batch_size': 2, 'last_iter': 0, 'finetune_lr': 5e-05, 'scratch_lr': 0.0005, 'weight_decay': 0.0005, 'momentum': 0.9, 'snapshot': '', 'scale': 416, 'multi-scale': None, 'gpu': '0,1', 'multi-GPUs': False, 'fp16': True, 'warm_up_epochs': 3, 'seed': 2020}

iter: 33, bce1: 0.7277045, bce2: 0.7260935, bce3: 0.7160625, hinge1: 1.9119325, hinge2: 1.9197855, hinge3: 2.0799085, cla: 1.9871725, lr: 0.0000008
iter: 34, bce1: 0.7277225, bce2: 0.7277915, bce3: 0.7162085, hinge1: 1.9163385, hinge2: 1.9223405, hinge3: 2.0835965, cla: 2.0436185, lr: 0.0000008
iter: 35, bce1: 0.7282315, bce2: 0.7278575, bce3: 0.7162135, hinge1: 1.9220455, hinge2: 1.9231065, hinge3: 2.0862915, cla: 2.0402335, lr: 0.0000008
iter: 36, bce1: 0.7299215, bce2: 0.7275655, bce3: 0.7160905, hinge1: 1.9199545, hinge2: 1.9148275, hinge3: 2.0987575, cla: 2.0466755, lr: 0.0000008
iter: 37, bce1: 0.7302395, bce2: 0.7273425, bce3: 0.7165635, hinge1: 1.9334305, hinge2: 1.9239675, hinge3: 2.1005835, cla: 2.0555515, lr: 0.0000008
iter: 38, bce1: 0.7294975, bce2: 0.7269295, bce3: 0.7170835, hinge1: 1.9471865, hinge2: 1.9446615, hinge3: 2.1031805, cla: 2.0503055, lr: 0.0000008
iter: 39, bce1: 0.7298255, bce2: 0.7254975, bce3: 0.7170705, hinge1: 1.9540515, hinge2: 1.9453605, hinge3: 2.1086545, cla: 2.0472475, lr: 0.0000008
iter: 40, bce1: 0.7304785, bce2: 0.7246545, bce3: 0.7173365, hinge1: 1.9552535, hinge2: 1.9423105, hinge3: 2.0975605, cla: 2.0514595, lr: 0.0000008
iter: 41, bce1: 0.7306335, bce2: 0.7245275, bce3: 0.7174925, hinge1: 1.9653955, hinge2: 1.9518755, hinge3: 2.1046965, cla: 2.0357135, lr: 0.0000008
iter: 42, bce1: 0.7301085, bce2: 0.7240735, bce3: 0.7160115, hinge1: 1.9648125, hinge2: 1.9582165, hinge3: 2.0897075, cla: 2.0463035, lr: 0.0000008
iter: 43, bce1: 0.7272955, bce2: 0.7232105, bce3: 0.7170615, hinge1: 1.9558685, hinge2: 1.9565555, hinge3: 2.0951855, cla: 2.0475615, lr: 0.0000008
iter: 44, bce1: 0.7260995, bce2: 0.7236795, bce3: 0.7157875, hinge1: 1.9540335, hinge2: 1.9578425, hinge3: 2.0879305, cla: 2.0235325, lr: 0.0000008
iter: 45, bce1: 0.7269255, bce2: 0.7237745, bce3: 0.7167155, hinge1: 1.9525095, hinge2: 1.9534805, hinge3: 2.0860745, cla: 2.0054675, lr: 0.0000008
iter: 46, bce1: 0.7266995, bce2: 0.7235625, bce3: 0.7178565, hinge1: 1.9634695, hinge2: 1.9596785, hinge3: 2.0868705, cla: 2.0180985, lr: 0.0000008
iter: 47, bce1: 0.7272005, bce2: 0.7223285, bce3: 0.7178715, hinge1: 1.9576525, hinge2: 1.9493005, hinge3: 2.0868235, cla: 2.0256185, lr: 0.0000008
iter: 48, bce1: 0.7268135, bce2: 0.7221255, bce3: 0.7182595, hinge1: 1.9805405, hinge2: 1.9709345, hinge3: 2.0764975, cla: 2.0420555, lr: 0.0000008
iter: 49, bce1: 0.7262075, bce2: 0.7228065, bce3: 0.7170955, hinge1: 1.9838435, hinge2: 1.9758565, hinge3: 2.0705335, cla: 2.0323025, lr: 0.0000008
iter: 50, bce1: 0.7287355, bce2: 0.7221695, bce3: 0.7152375, hinge1: 1.9853775, hinge2: 1.9639375, hinge3: 2.0539785, cla: 2.0345425, lr: 0.0000008
iter: 51, bce1: 0.7290825, bce2: 0.7242715, bce3: 0.7144505, hinge1: 1.9804255, hinge2: 1.9637825, hinge3: 2.0460715, cla: 2.0269565, lr: 0.0000008
iter: 52, bce1: 0.7288455, bce2: 0.7249145, bce3: 0.7139505, hinge1: 1.9833135, hinge2: 1.9733675, hinge3: 2.0384425, cla: 2.0250975, lr: 0.0000008
iter: 53, bce1: 0.7277995, bce2: 0.7240915, bce3: 0.7140975, hinge1: 1.9763555, hinge2: 1.9706635, hinge3: 2.0535525, cla: 2.0228595, lr: 0.0000008
iter: 54, bce1: 0.7274935, bce2: 0.7237125, bce3: 0.7145195, hinge1: 1.9866415, hinge2: 1.9773285, hinge3: 2.0655355, cla: 2.0165335, lr: 0.0000008
iter: 55, bce1: 0.7275725, bce2: 0.7235525, bce3: 0.7145105, hinge1: 1.9952245, hinge2: 1.9804645, hinge3: 2.0735255, cla: 2.0160885, lr: 0.0000008
iter: 56, bce1: 0.7272535, bce2: 0.7225395, bce3: 0.7146885, hinge1: 1.9951345, hinge2: 1.9868885, hinge3: 2.0880635, cla: 2.0263695, lr: 0.0000008
iter: 57, bce1: 0.7273735, bce2: 0.7235155, bce3: 0.7151835, hinge1: 1.9842495, hinge2: 1.9783715, hinge3: 2.0937105, cla: 2.0114445, lr: 0.0000008
