{'max_epoch': 12, 'train_batch_size': 2, 'last_iter': 0, 'finetune_lr': 5e-05, 'scratch_lr': 0.0005, 'weight_decay': 0.0005, 'momentum': 0.9, 'snapshot': '', 'scale': 416, 'multi-scale': None, 'gpu': '0,1', 'multi-GPUs': False, 'fp16': True, 'warm_up_epochs': 3, 'seed': 2020}

iter: 2, bce1: 0.7612915, bce2: 0.6952025, bce3: 0.7071305, hinge1: 1.4946515, hinge2: 1.3591485, hinge3: 1.9827015, cla: 1.1268735, lr: 0.0000008
iter: 3, bce1: 0.7618915, bce2: 0.6916505, bce3: 0.7067575, hinge1: 1.6640865, hinge2: 1.4965655, hinge3: 2.2118255, cla: 1.3446365, lr: 0.0000008
iter: 4, bce1: 0.7465915, bce2: 0.7118565, bce3: 0.7309695, hinge1: 1.7596665, hinge2: 1.7312505, hinge3: 2.2474995, cla: 1.5213375, lr: 0.0000008
iter: 5, bce1: 0.7351325, bce2: 0.7099145, bce3: 0.7483755, hinge1: 1.7291895, hinge2: 1.7364945, hinge3: 2.3116155, cla: 1.6998505, lr: 0.0000008
iter: 6, bce1: 0.7339775, bce2: 0.7035295, bce3: 0.7211795, hinge1: 1.6721465, hinge2: 1.6535555, hinge3: 2.2399905, cla: 1.7858595, lr: 0.0000008
iter: 7, bce1: 0.7393855, bce2: 0.7008805, bce3: 0.7203335, hinge1: 1.6757275, hinge2: 1.6405115, hinge3: 2.2033525, cla: 1.7600755, lr: 0.0000008
iter: 8, bce1: 0.7448355, bce2: 0.7016175, bce3: 0.7222325, hinge1: 1.7200785, hinge2: 1.6489045, hinge3: 2.2579735, cla: 1.7946045, lr: 0.0000008
iter: 9, bce1: 0.7424395, bce2: 0.7035255, bce3: 0.7216275, hinge1: 1.7497875, hinge2: 1.6992335, hinge3: 2.2789655, cla: 2.5876075, lr: 0.0000008
iter: 10, bce1: 0.7426595, bce2: 0.7072975, bce3: 0.7214565, hinge1: 1.8067485, hinge2: 1.7174025, hinge3: 2.3135805, cla: 2.5760275, lr: 0.0000008
iter: 11, bce1: 0.7434575, bce2: 0.7083285, bce3: 0.7137255, hinge1: 1.8241945, hinge2: 1.7375765, hinge3: 2.2736945, cla: 2.4443935, lr: 0.0000008
iter: 12, bce1: 0.7377325, bce2: 0.7078025, bce3: 0.7175285, hinge1: 1.8431455, hinge2: 1.7589595, hinge3: 2.3402145, cla: 2.5273095, lr: 0.0000008
iter: 13, bce1: 0.7351585, bce2: 0.7134025, bce3: 0.7194305, hinge1: 1.8296545, hinge2: 1.7564345, hinge3: 2.3158055, cla: 2.4048045, lr: 0.0000008
iter: 14, bce1: 0.7416985, bce2: 0.7132935, bce3: 0.7195545, hinge1: 1.8241995, hinge2: 1.7319625, hinge3: 2.3056525, cla: 2.4078755, lr: 0.0000008
iter: 15, bce1: 0.7391955, bce2: 0.7134535, bce3: 0.7204955, hinge1: 1.8279675, hinge2: 1.7499325, hinge3: 2.3035095, cla: 2.3487795, lr: 0.0000008
iter: 16, bce1: 0.7371535, bce2: 0.7149935, bce3: 0.7207925, hinge1: 1.8620705, hinge2: 1.7932465, hinge3: 2.3314025, cla: 2.5670665, lr: 0.0000008
iter: 17, bce1: 0.7368705, bce2: 0.7167045, bce3: 0.7205825, hinge1: 1.8703885, hinge2: 1.8243655, hinge3: 2.3293805, cla: 2.7655545, lr: 0.0000008
iter: 18, bce1: 0.7368685, bce2: 0.7123525, bce3: 0.7187985, hinge1: 1.8664475, hinge2: 1.8222525, hinge3: 2.2943665, cla: 2.6749915, lr: 0.0000008
iter: 19, bce1: 0.7365025, bce2: 0.7145155, bce3: 0.7174835, hinge1: 1.8646385, hinge2: 1.8260075, hinge3: 2.2852805, cla: 2.6436655, lr: 0.0000008
iter: 20, bce1: 0.7404735, bce2: 0.7153895, bce3: 0.7166395, hinge1: 1.8695015, hinge2: 1.8198565, hinge3: 2.2771645, cla: 2.6021245, lr: 0.0000008
iter: 21, bce1: 0.7361515, bce2: 0.7156625, bce3: 0.7157235, hinge1: 1.8568985, hinge2: 1.8150855, hinge3: 2.2797315, cla: 2.5977565, lr: 0.0000008
iter: 22, bce1: 0.7362365, bce2: 0.7179925, bce3: 0.7127055, hinge1: 1.8488135, hinge2: 1.8092955, hinge3: 2.2536505, cla: 2.6060715, lr: 0.0000008
iter: 23, bce1: 0.7365135, bce2: 0.7180215, bce3: 0.7118175, hinge1: 1.8622885, hinge2: 1.8295215, hinge3: 2.2524915, cla: 2.6576945, lr: 0.0000008
iter: 24, bce1: 0.7352335, bce2: 0.7176655, bce3: 0.7131535, hinge1: 1.8731575, hinge2: 1.8486995, hinge3: 2.2313345, cla: 2.6602335, lr: 0.0000008
iter: 25, bce1: 0.7352175, bce2: 0.7181065, bce3: 0.7144745, hinge1: 1.8807475, hinge2: 1.8555515, hinge3: 2.2466725, cla: 2.6847775, lr: 0.0000008
iter: 26, bce1: 0.7345575, bce2: 0.7177855, bce3: 0.7137355, hinge1: 1.9151295, hinge2: 1.8800655, hinge3: 2.2358535, cla: 2.6734675, lr: 0.0000008
iter: 27, bce1: 0.7338425, bce2: 0.7176695, bce3: 0.7132785, hinge1: 1.9292285, hinge2: 1.9015405, hinge3: 2.2325605, cla: 2.6485695, lr: 0.0000008
